Housing_own,Housing_own,Purpose_radio/TV,Age,Checking account_little,Saving accounts_rich,Sex,Saving accounts_quite rich,Checking account_rich,Job,Purpose_business,Purpose_education,Saving accounts_little,Housing_free,Housing_rent,Checking account_moderate,Credit amount,Duration
True,True,True,20,True,False,1,False,False,2,False,False,False,False,False,False,674,12
False,False,False,27,True,False,1,False,False,2,True,False,True,False,True,False,7980,36
False,False,False,44,True,False,1,False,False,3,False,False,True,False,True,False,3384,6
False,False,False,46,False,False,1,False,False,2,False,False,True,False,True,True,1223,12
False,False,False,32,False,True,1,False,False,2,False,True,False,True,False,True,1136,9
True,True,False,25,False,False,0,False,False,1,False,False,True,False,False,True,1355,24
True,True,False,29,True,False,0,False,False,2,False,False,True,False,False,False,915,24
True,True,False,23,True,False,0,True,False,2,False,False,False,False,False,False,4281,33
True,True,True,20,True,False,1,False,False,2,False,False,False,False,False,False,674,12
False,False,False,47,True,False,1,False,False,2,False,False,True,True,False,False,8335,36
True,True,True,22,False,False,0,False,False,2,False,False,True,False,False,True,5951,48
True,True,False,31,True,False,1,False,False,2,False,False,True,False,False,False,4817,24
True,True,False,42,True,False,1,False,False,3,True,False,True,False,False,False,2292,12
False,False,False,24,True,False,0,False,False,2,False,False,True,False,True,False,1275,15
True,True,False,33,True,False,1,False,False,1,False,False,True,False,False,False,2579,12
False,False,True,22,False,False,1,False,False,2,False,False,False,False,True,True,3092,24
False,False,False,37,True,False,1,False,False,2,False,True,True,True,False,False,1819,36
True,True,False,23,False,False,1,False,False,0,False,False,True,False,False,True,14555,6
True,True,True,34,False,False,1,False,True,3,False,False,True,False,False,False,1337,9
True,True,False,35,True,False,1,False,False,2,False,False,True,False,False,False,691,12
False,False,False,50,False,False,1,False,False,2,False,True,True,True,False,True,6224,48
True,True,False,31,False,False,1,False,False,2,True,False,True,False,False,True,1935,24
False,False,False,33,False,False,1,False,True,2,False,True,True,False,True,False,2319,21
True,True,False,33,True,False,1,False,False,1,False,False,True,False,False,False,2579,12
False,False,False,47,False,False,1,False,False,2,False,True,False,True,False,True,12612,36
True,True,False,45,True,False,1,False,False,1,False,False,True,False,False,False,4006,28
False,False,False,59,False,False,0,False,False,2,True,False,True,False,True,True,6416,48
True,True,True,42,False,False,0,False,False,2,False,False,True,False,False,True,3804,36
True,True,False,40,True,False,1,False,False,3,False,True,False,False,False,False,4623,15
False,False,False,37,False,False,1,False,False,2,False,False,True,True,False,True,12389,36
True,True,False,23,True,False,0,True,False,2,False,False,False,False,False,False,4281,33
True,True,False,23,False,False,1,False,False,2,True,False,True,False,False,True,15672,48
False,False,False,21,True,False,0,False,False,2,False,False,True,False,True,False,2570,27
True,True,True,22,False,False,1,False,False,2,False,False,True,False,False,True,2039,24
False,False,False,43,True,False,1,False,False,2,False,False,True,False,True,False,2625,16
False,False,False,47,False,False,1,False,False,2,False,True,False,True,False,True,12612,36
True,True,False,25,False,False,0,False,False,1,False,False,True,False,False,True,4736,24
False,False,False,28,False,False,1,False,False,3,False,False,True,False,True,True,9398,36
True,True,False,33,True,False,0,False,False,2,False,False,True,False,False,False,1131,18
False,False,True,39,False,False,1,False,True,2,False,False,True,True,False,False,1271,15
False,False,True,50,False,False,0,False,False,2,False,False,False,True,False,True,2671,36
True,True,False,29,True,False,1,False,False,2,False,False,True,False,False,False,5179,36
False,False,False,37,False,False,1,False,False,2,False,False,True,True,False,True,12389,36
True,True,True,22,False,False,1,False,False,2,False,False,True,False,False,True,1331,12
False,False,False,46,False,False,1,False,False,2,False,False,True,False,True,True,1223,12
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
True,True,False,26,True,False,0,False,False,3,False,False,True,False,False,False,10974,36
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
True,True,False,25,False,False,0,False,False,2,False,False,True,False,False,True,2762,12
True,True,False,34,False,False,0,False,False,3,False,True,True,False,False,True,1501,9
True,True,False,27,True,False,0,False,False,2,False,False,True,False,False,False,3123,24
False,False,False,44,False,False,0,False,False,3,False,False,True,True,False,True,12579,24
True,True,False,35,True,False,1,False,False,2,False,False,True,False,False,False,691,12
True,True,False,24,False,False,0,False,False,2,False,False,True,False,False,True,2150,30
True,True,False,25,False,False,0,False,False,2,False,False,True,False,False,True,2762,12
True,True,False,24,True,False,1,False,False,2,True,False,True,False,False,False,2145,36
True,True,False,23,True,False,0,True,False,2,False,False,False,False,False,False,4281,33
True,True,False,53,True,False,0,False,False,2,False,True,True,False,False,False,795,12
False,False,False,29,True,False,0,False,False,0,False,False,True,False,True,False,1193,24
True,True,True,26,True,False,1,False,False,3,False,False,True,False,False,False,4463,36
False,False,False,25,False,False,1,False,False,2,False,False,False,False,True,True,1264,15
True,True,False,25,False,False,0,False,False,1,False,False,True,False,False,True,4736,24
False,False,False,28,False,False,0,False,False,2,False,False,False,False,True,True,2631,15
True,True,False,27,True,False,1,False,False,2,False,True,True,False,False,False,5998,40
True,True,False,30,True,False,0,False,False,2,False,True,False,False,False,False,1864,18
True,True,False,23,True,False,0,False,False,1,False,False,True,False,False,False,976,18
True,True,False,31,False,False,1,False,False,2,True,False,True,False,False,True,1935,24
True,True,True,42,False,False,0,False,False,2,False,False,True,False,False,True,3804,36
False,False,False,48,False,False,0,False,True,1,False,False,False,True,False,False,1240,10
False,False,False,42,True,False,1,False,False,3,False,False,True,True,False,False,7763,48
True,True,False,41,True,False,1,False,False,1,False,True,True,False,False,False,719,12
False,False,False,37,False,False,1,False,False,2,False,False,True,True,False,True,12389,36
True,True,False,26,True,False,0,True,False,2,False,False,False,False,False,False,1386,12
True,True,False,23,True,False,0,False,False,2,False,False,True,False,False,False,1943,18
True,True,False,36,True,False,1,False,False,2,True,False,True,False,False,False,4165,18
True,True,False,26,True,False,0,False,False,3,False,False,True,False,False,False,10974,36
True,True,False,40,True,False,1,False,False,3,False,False,True,False,False,False,1358,24
False,False,False,46,True,False,1,False,False,2,False,False,True,True,False,False,6331,48
True,True,True,33,True,False,0,False,False,1,False,False,True,False,False,False,797,12
True,True,False,32,False,False,0,False,False,3,False,False,True,False,False,True,18424,48
True,True,False,29,True,False,1,False,False,2,False,True,True,False,False,False,6887,36
True,True,False,23,False,False,1,False,False,0,False,False,True,False,False,True,14555,6
False,False,False,25,False,False,1,False,False,2,False,False,False,False,True,True,1264,15
False,False,False,33,False,False,1,False,True,2,False,True,True,False,True,False,2319,21
False,False,False,28,False,False,0,True,False,2,False,False,False,False,True,True,4113,24
True,True,False,54,True,False,1,False,False,2,False,False,True,False,False,False,3051,48
True,True,False,45,True,False,1,False,False,3,False,False,True,False,False,False,8978,14
False,False,False,23,True,False,0,False,False,2,False,False,True,False,True,False,1442,24
True,True,False,54,True,False,1,False,False,2,False,False,True,False,False,False,3051,48
True,True,False,49,False,False,1,False,False,2,False,False,True,False,False,True,8386,30
False,False,False,53,True,False,1,False,False,2,False,False,True,True,False,False,4870,24
True,True,True,25,False,False,1,False,False,2,False,False,True,False,False,True,4933,39
True,True,True,28,False,False,1,False,False,2,False,False,True,False,False,True,3060,48
True,True,False,24,False,False,1,False,False,2,False,False,False,False,False,True,6560,48
True,True,False,29,True,False,0,False,False,2,False,False,True,False,False,False,3499,12
False,False,False,27,True,False,1,False,False,3,False,False,True,True,False,False,1422,9
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
True,True,False,37,True,False,0,False,False,1,False,False,True,False,False,False,1274,12
True,True,False,27,True,False,1,False,False,2,False,True,True,False,False,False,5998,40
True,True,False,26,True,False,1,False,False,2,False,False,True,False,False,False,8229,36
True,True,False,34,True,False,1,False,False,1,False,False,True,False,False,False,11998,30
False,False,False,46,False,False,1,False,False,2,False,False,True,False,True,True,1223,12
True,True,False,24,True,False,1,False,False,2,False,False,True,False,False,False,9629,36
False,False,False,46,True,False,1,False,False,2,False,False,True,True,False,False,6331,48
True,True,False,31,True,False,1,False,False,2,False,False,True,False,False,False,4817,24
True,True,False,31,True,False,1,False,False,1,False,False,True,False,False,False,3108,30
True,True,False,37,False,False,1,False,True,1,False,False,True,False,False,False,1344,24
True,True,True,44,True,False,0,False,False,2,False,False,True,False,False,False,5943,24
True,True,True,22,False,False,1,False,False,2,False,False,True,False,False,True,1331,12
False,False,True,29,True,False,0,False,False,1,False,False,True,False,True,False,1659,24
True,True,False,28,True,False,1,False,False,2,False,False,True,False,False,False,1108,12
True,True,False,41,True,False,1,False,False,1,False,True,True,False,False,False,719,12
True,True,False,31,False,False,1,False,False,2,True,False,True,False,False,True,1935,24
True,True,False,28,True,False,0,False,False,3,False,False,True,False,False,False,3349,36
False,False,False,26,False,False,0,False,False,1,True,False,False,False,True,True,4280,30
True,True,False,31,True,False,1,False,False,2,False,False,True,False,False,False,2746,36
False,False,False,37,False,False,1,False,False,2,False,False,True,True,False,True,12389,36
True,True,False,29,True,False,0,False,False,2,False,False,True,False,False,False,3959,15
False,False,True,29,True,False,0,False,False,1,False,False,True,False,True,False,1659,24
True,True,False,47,False,False,1,False,False,3,False,False,True,False,False,True,1209,6
True,True,False,22,True,False,1,False,False,2,False,False,True,False,False,False,2462,18
False,False,False,46,False,False,1,False,False,2,False,False,True,False,True,True,1223,12
True,True,False,34,False,False,0,False,False,3,False,False,True,False,False,True,2064,24
True,True,False,32,True,False,0,False,False,2,False,False,True,False,False,False,4611,6
True,True,False,25,False,False,0,False,False,1,False,False,True,False,False,True,4736,24
False,False,False,20,True,False,0,False,False,2,False,False,True,False,True,False,2039,18
True,True,False,30,True,False,0,False,False,2,False,True,False,False,False,False,1864,18
True,True,False,33,True,False,1,False,False,1,False,False,True,False,False,False,2579,12
True,True,False,28,True,False,1,False,False,2,True,False,True,False,False,False,9572,36
False,False,False,47,False,False,1,False,False,2,False,True,False,True,False,True,12612,36
True,True,False,25,True,False,1,False,False,0,False,False,True,False,False,False,2473,18
True,True,False,60,True,False,1,False,False,1,False,False,True,False,False,False,1199,24
False,False,False,29,True,False,1,False,False,2,True,False,True,False,True,False,11816,45
False,False,False,33,True,False,1,False,False,2,False,False,True,False,True,False,2235,20
True,True,True,33,True,False,0,False,False,1,False,False,True,False,False,False,797,12
True,True,False,25,True,False,1,False,False,0,False,False,True,False,False,False,2473,18
True,True,False,27,True,False,1,False,False,2,True,False,True,False,False,False,8648,24
True,True,False,27,True,False,1,False,False,2,True,False,True,False,False,False,8648,24
True,True,True,31,True,False,1,False,False,2,False,False,False,False,False,False,3621,24
False,False,False,55,True,True,1,False,False,2,False,False,False,True,False,False,1555,12
True,True,False,33,True,False,1,False,False,2,False,False,False,False,False,False,2359,24
True,True,False,24,False,False,0,False,False,2,False,False,True,False,False,True,1237,8
False,False,False,34,False,False,1,False,False,1,True,False,False,True,False,True,3844,48
True,True,False,47,False,False,1,False,False,3,False,False,True,False,False,True,1209,6
False,False,False,53,True,False,1,False,False,3,False,False,True,True,False,False,7865,12
True,True,False,24,True,False,1,False,False,2,True,False,True,False,False,False,2145,36
False,False,False,30,True,False,1,False,False,3,False,False,True,True,False,False,12680,21
True,True,False,25,False,False,0,False,False,1,False,False,True,False,False,True,1355,24
True,True,False,36,False,False,1,False,False,2,True,False,True,False,False,True,3915,27
True,True,False,29,True,False,0,False,False,2,False,False,True,False,False,False,3499,12
True,True,True,31,True,False,1,False,False,2,False,False,False,False,False,False,3621,24
True,True,False,34,True,False,1,False,False,1,False,False,True,False,False,False,11998,30
True,True,False,27,True,False,0,False,False,0,False,True,True,False,False,False,750,18
True,True,False,34,False,False,1,False,False,3,False,False,False,False,False,True,6850,15
True,True,False,60,True,False,1,False,False,1,False,False,True,False,False,False,1199,24
True,True,True,22,True,False,1,False,False,2,False,False,True,False,False,False,1478,9
True,True,False,27,True,False,1,False,False,2,False,False,True,False,False,False,3552,24
True,True,False,23,True,False,0,False,False,2,False,False,True,False,False,False,1943,18
True,True,False,23,False,False,1,False,False,0,False,False,True,False,False,True,14555,6
False,False,False,25,True,False,0,False,False,2,False,False,True,False,True,False,1371,24
True,True,False,33,True,False,0,False,False,2,False,False,True,False,False,False,1131,18
True,True,False,40,True,False,1,False,False,3,False,False,True,False,False,False,1358,24
False,False,True,25,True,False,0,False,False,2,False,False,True,False,True,False,1882,18
True,True,True,33,False,False,1,False,False,2,False,False,True,False,False,True,1245,18
True,True,False,38,True,False,1,False,False,2,True,False,True,False,False,False,3914,48
True,True,False,26,True,False,0,False,False,3,False,False,True,False,False,False,10974,36
False,False,False,46,True,False,1,False,False,2,False,False,True,True,False,False,6331,48
True,True,False,35,True,False,1,False,False,2,False,False,True,False,False,False,691,12
True,True,False,63,True,False,1,False,False,2,True,False,True,False,False,False,6836,60
True,True,False,33,True,False,1,False,False,2,False,False,False,False,False,False,2359,24
True,True,True,28,False,False,1,False,False,2,False,False,True,False,False,True,3060,48
True,True,True,38,False,False,1,False,False,2,False,False,False,False,False,True,1216,24
True,True,True,20,True,False,1,False,False,2,False,False,False,False,False,False,674,12
True,True,False,61,False,True,1,False,False,2,False,False,False,False,False,True,1512,15
True,True,True,37,False,False,1,False,True,2,False,False,True,False,False,False,2100,18
True,True,True,35,True,False,0,False,False,2,False,False,True,False,False,False,2439,24
False,False,False,46,False,False,1,False,False,2,False,False,True,False,True,True,1223,12
